Title,Number,Barcode,Author,Summary,Status
You are not a stranger here ,904 HAS,GRAY381952,"Haslett, Adam.","In his bestselling and lavishly praised first book of stories, Adam Haslett explores lives that appear shuttered by loss and discovers entire worlds hidden inside them. The impact is at once harrowing and thrilling.An elderly inventor, burning with manic creativity, tries to reconcile with his estranged gay son. A bereaved boy draws a thuggish classmate into a relationship of escalating guilt and violence. A genteel middle-aged woman, a long-time resident of a psychiatric hospital, becomes the confidante of a lovelorn teenaged volunteer. Told with Chekhovian restraint and compassion, and conveying both the sorrow of life and the courage with which people rise to meet it, You Are Not a Stranger Here is a triumph of storytelling.",Available
"Mischling, second degree :",921 KOE,GRAY381847,"Koehn, Ilse.",The memoirs of a German girl who became a leader among the Hitler Youth while her Social Democratic family kept from her the secret of her partial Jewish heritage.,Available
Thunderbird spirit ,E F BRO,GRAY20744,"Brouwer, Sigmund.","Hockey stars Mike ""Crazy"" Keats and his Cree Indian friend, Dakota, are caught in a web of violence which makes winning a championship the least of their concerns.",Available
The trouble with liberty ,E F BUT,GRAY17859,"Butcher, Kristin.","Liberty Hayes has just moved to Sutter's Crossing and is the talk of the town. She has plenty of money and everyone wants to be her friend. When Liberty accuses a male teacher of sexually assaulting her, the rumors start. Val, her new best friend, is torn between believing Liberty and trusting her old friend Ryan when it comes to the truth. What is the trouble with Liberty?",Available
Two foot punch ,E F DAH,GRAY20760,"Daher, Anita,","Nikki blames her brother, Derek, for their parents' death in a house fire, but when Derek gets involved with a gang, Nikki knows she is the only one who can save him. Enlisting the help of a girl named Rain, who uses her athletic abilities to carry out acts of petty thievery, Nikki uses all her gymnastic and free-running skills to stay ahead of the gang and keep her brother from being killed.",Available
Who owns Kelly Paddik? ,E F GOO,GRAY15730,"Goobie, Beth,","Kelly Paddik is locked up. Sent to a secure facility because she is a danger to herself, Kelly wants only to escape. But her painful past continues to haunt her until she is forced to face up to the most painful memory of all. A searing look at one girl's struggle for self respect.",Available
Kicked out ,E F GOO,GRAY16225,"Goobie, Beth,","Dime is fifteen and angry all the time. Her parents don't like the way she dresses, her boyfriend, her attitude. Her older brother Darren was paralyzed in an accident she walked away from, and Dime is sure her parents wish she were the one in the wheelchair. When the fights and accusations finally become too much, Dime moves in with her brother. At first she is overjoyed with the change of scenery and lack of parental control. But when her troubles follow her she finds that maybe it isn't everyone else who is the problem, and realizes that she has to start taking some responsibility for her actions.Also available in Spanish.",Available
Dead-end job ,E F GRA,GRAY18026,"Grant, Vicki.","Frances works the night shift at a local convenience store, dividing her time between restocking shelves and working on her art. Her routine is broken one night when Devin comes into the store. He claims to be the son of a famous local artist and offers her advice on her drawings. Although he seems to know way too much about her, Frances decides, against the advice of her boyfriend, that he is odd but harmless. By the time she realizes the danger she is in, Devin is completely obsessed with her and convinced that if he can't have her, no one will. Frances will be forced to use all her strength to escape from Devin.",Available
I.D. ,E F GRA,GRAY19613,"Grant, Vicki.","Chris has a hard home life, does not do well in school, and cannot get the girl he wants, so when he finds a wallet on the sidewalk that appears to belong to someone with a better life, he is tempted to steal its owner's identity.",Available
Bull rider ,E F HAL,GRAY17857,"Halvorson, Marilyn,","Layne wants nothing more than to follow in his father's footsteps and to be a bull rider. His dad was one ride away from a National Championship when he got trampled to death. Layne wants to be able to give his dad that championship--by winning it for him. What he doesn't want, though, is to end up like his father and die in the rodeo arena. When the chance comes, Layne realizes he must face up to his greatest fear. With the help of his friend Jana, and his bratty younger sister, Layne learns to reach deep inside and trust himself.Also available in French.",Available
Caught in the Blizzard,E F KRO,GRAY18024,"Kropp, Paul","Provide reluctant readers with high-interest, real-life storiesThis series of seven softcover titles are written specifically to support reluctant readers. These books are research-based and classroom-tested. Technical readability is controlled so there are no sudden jumps in vocabulary or reading difficulty. If students can read the first page, they can read every page in the book.Reading Level: 3-4Interest Level: 6-12",Available
Hitting the Road,E F KRO,GRAY18028,"Kropp, Paul",None,Available
Scarface :,E F KRO,GRAY18036,"Kropp, Paul,","Tranh has just moved from Cambodia to Canada, hoping for him and his family to find a better life. Unfortunately snotty Martin Beamis keeps on bugging him.Tranh's story will tickle the fancy of younger readers.",Available
Behind the door ,E F KRO,GRAY19884,"Kropp, Paul,",None,Available
Turf war ,E F KRO,GRAY19883,"Kropp, Alex,","Kasim and his friends aren't much of a gang. They're not like Crips or Bloods, they're just a bunch of guys who hang together. But that doesn't stop the Parkside Prep guys when they decide to clean up the Edge.",Available
Charmed ,E F MAC,GRAY18023,"Mac, Carrie,","Izzy's mother works far away and leaves Izzy at home, alone with Rob the Slob. Angry at her mother and trying to deal with school, friends and the attentions of charismatic Cody Dillon, Izzy finds her life swirling out of control. Coerced into putting out to help Cody, Izzy finds she is one in a long line of girls ensnared in prostitution, with no way to escape. Believing that her mother will come for her, Izzy manages to fight back and, when the chance appears, make a run for it.",Available
Pain & wastings ,E F MAC,GRAY20128,"Mac, Carrie,","The highly anticipated portrait of three generations of the Sackler family, by the prize-winning, bestselling author of Say Nothing. The Sackler name adorns the walls of many storied institutions: Harvard, the Metropolitan Museum of Art, Oxford, the Louvre. They are one of the richest families in the world, known for their lavish donations to the arts and sciences. The source of the family fortune was vague, however, until it emerged that the Sacklers were responsible for making and marketing OxyContin, a blockbuster painkiller that was a catalyst for the opioid crisis.Empire of Pain is a masterpiece of narrative reporting and writing, exhaustively documented and ferociously compelling.",Available
